GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
patient-service,com.medilabosolutions.patient_service.exception,GlobalExceptionHandler,0,18,0,0,0,5,0,2,0,2
patient-service,com.medilabosolutions.patient_service.exception,PatientNotFoundException,0,5,0,0,0,2,0,1,0,1
patient-service,com.medilabosolutions.patient_service.service,PatientService,0,146,0,4,0,31,0,11,0,9
patient-service,com.medilabosolutions.patient_service,PatientServiceApplication,5,3,0,0,2,1,1,1,1,1
patient-service,com.medilabosolutions.patient_service.controller,PatientController,0,54,0,0,0,12,0,8,0,8
