GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
note-service,com.medilabosolutions.note_service.service,NoteService,0,74,0,0,0,18,0,6,0,6
note-service,com.medilabosolutions.note_service.exception,GlobalExceptionHandler,15,3,0,0,4,1,1,1,1,1
note-service,com.medilabosolutions.note_service.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
note-service,com.medilabosolutions.note_service.controller,NoteController,0,49,0,0,0,12,0,6,0,6
note-service,com.medilabosolutions.note_service,NoteServiceApplication,5,3,0,0,2,1,1,1,1,1
